truth\pred,ᜀ,ᜊ,ᜃ,ᜇ,ᜁ,ᜄ,ᜑ,ᜎ,ᜋ,ᜈ,ᜅ,ᜂ,ᜉ,ᜐ,ᜆ,ᜏ,ᜌ,ᜒ,ᜓ,᜔,<DEL>
ᜀ,99.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜊ,0.00%,99.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.07%
ᜃ,0.00%,0.00%,99.74%,0.00%,0.04%,0.00%,0.00%,0.13%,0.00%,0.04%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜇ,0.00%,0.00%,0.00%,99.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.26%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜁ,0.00%,0.00%,0.15%,0.46%,99.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%
ᜄ,0.00%,0.00%,0.00%,0.00%,0.00%,99.63%,0.00%,0.00%,0.00%,0.05%,0.28%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜑ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.97%,0.19%,0.00%,0.00%,0.00%,0.00%,0.28%,0.00%,0.19%,0.00%,0.19%,0.00%,0.09%,0.00%,0.09%
ᜎ,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,99.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.08%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%
ᜋ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.88%,0.00%,0.08%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜈ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.07%,0.00%,99.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜅ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.37%,0.00%,3.36%,94.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜂ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.18%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.55%
ᜉ,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.17%,0.00%,0.04%,0.00%,98.48%,0.25%,0.04%,0.25%,0.51%,0.00%,0.00%,0.00%,0.08%
ᜐ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,99.59%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.14%
ᜆ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.33%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,99.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%
ᜏ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,99.03%,0.81%,0.00%,0.00%,0.00%,0.00%
ᜌ,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.27%,0.00%,0.09%,0.00%,0.00%,0.00%,1.01%,0.09%,0.00%,0.55%,97.62%,0.00%,0.09%,0.00%,0.00%
ᜒ,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,99.23%,0.04%,0.00%,0.64%
ᜓ,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,97.16%,2.21%,0.51%
᜔,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.29%,99.57%,0.11%
<INS>,1.85%,3.70%,1.85%,3.70%,0.00%,0.00%,5.56%,1.85%,3.70%,1.85%,3.70%,1.85%,3.70%,0.00%,3.70%,3.70%,9.26%,14.81%,18.52%,16.67%,100%
